
Name and rank. 	 Company.	 Regiment.

Third Brigade, Colonel S. B.

Hayman - Continued.

Sergt. Leonard Deitrich.	 C	 3rd Michigan

 	 Volunteers.

Sergt. Frank Muhlberg.	 C	 Do.

Corpl. Peter Myers.	 C	 Do.

Private William Schumaker.	 C	 Do.

Sergt. Richard E. Arthur.	 D	 Do.

Corpl. Lewis Pettitt.	 D	 Do.

Private William Rennick.	 D	 Do.

Sergt. Daniel E. Bordsell.	 E	 Do.

Corpl. Edwin Van Went.	 E	 Do.

Private George W. Wesilogh.	 E	 Do.

Sergt. James E. Van Dusen.	 F	 Do.

Corpl. Daniel G. Cratty.	 F	 Do.

Corpl. Job Brewer.	 F	 Do.

Private Mortimer Bonner.	 F	 Do.

Sergt. Charles A. Price.	 G	 Do.

Corpl. Iran M. B. Crane.	 G	 Do.

Private John Broad.	 G	 Do.

Sergt. Martin Biber.	 H	 Do.

Corpl. Cada White.	 H	 Do.

Private George W. Lemon.	 H	 Do.

Sergt. James F. McGinley.	 I	 Do.

Sergt. Benjamin C. Parker.	 I	 Do.

Corpl. Charles Nelson.	 I	 Do.

Sergt. Reuben Tower.	 K	 Do.

Corpl. James Hannah.	 K	 Do.

Corpl. Alex. French.	 K	 Do.

Corpl. Benjamin C. Gardner.	 K	 Do.

Q. M. Sergt. John H. Sumner.	 ...	 Do.

Corpl. August Busson.	 A	 5th Michigan

 	 Volunteers.

Corpl. Nich. Henry. 	 A	 Do.

Private Henry Jerome.	 A	 Do.

Corpl. Herman Schmidt.	 B	 Do.

Corpl. George Newton.	 B	 Do.

Private William Rapp.	 B	 Do.

Private Henry C. Bradley.	 B	 Do.

Sergt. James Hazzard.	 C	 Do.

Sergt. Donald Sinkley.	 C	 Do.

Corpl. Reuben Howe.	 C	 Do.

Private Luther Franklin.	 C	 Do.

Sergt. John Wickham.	 D	 Do.

Color-Sergt. Otto A. Berger.	 D	 Do.

Sergt. Peter Lennon.	 D	 Do.

Sergt. Othello W. Phelps.	 E	 Do.

Private James Harkness.	 E	 Do.

Private Hugh Madison.	 E	 Do.

Private William J. Moore.	 E	 Do.

Sergt. Jos. Kemp.	 F	 Do.

Sergt. James Darling.	 F	 Do.

Sergt. Francis McElroy.	 F	 Do.

Corpl. Peter Kenney.	 G	 Do.

Corpl. Thomas Lipscomb.	 G	 Do.

Private John E. Lee.	 G	 Do.

Sergt. William Bowles.	 H	 Do.

Private Milton Matoon.	 H	 Do.

Private Alfred B. Crane.	 H	 Do.

Corpl. Patrick Waters.	 H	 Do.

Sergt. Stewart A. Boyd.	 I	 Do.

Corpl. Charles Abrams.	 I	 Do.

Corpl. Charles Thayer.	 I	 Do.

Private Alva W. Schofield.	 I	 Do.

Sergt. Peter Boffinger.	 K	 Do.

Sergt. Charles J. Zwissler.	 K	 Do.

Corpl. William Buddle.	 K	 Do.

Sergt. Fayette M. Paine.	 A	 17th Maine

 	 Volunteers.

Sergt. Edward H. Crie.	 A	 Do.

Corpl. Joseph F. Lake.	 A	 Do.

Private Jacob C. Brown.	 A	 Do.

Private James C. Holt.	 B	 Do.

Private Monroe Quint.	 B	 Do.

Private B. T. Trueworthy.	 B	 Do.

Private John Lehanne.	 B	 Do

Private J. M. Hall.	 C	 Do.

Private S. C. Pratt.	 C	 Do.

Private S. W. Burnham.	 C	 Do.

Corpl. J. L. Fuller.	 C	 Do.

Sergt. Stephen Graffam.	 D	 Do.

Corpl. F. L. Whittemore.	 D	 Do.

Private Charles H. Hayes.	 D	 Do.

Private Amos G. Winter.	 D	 Do.

